Var1,time,acc_x,acc_y,acc_z,pulse,eda
524,5240,255.37,58.59,966.31,0.44,8.3
525,5250,241.7,65.92,957.52,0.45,8.59
526,5260,248.54,68.85,959.47,0.45,8.4
527,5270,243.16,72.75,964.36,0.45,8.63
528,5280,249.51,62.99,962.89,0.45,8.56
529,5290,246.09,62.99,951.17,0.45,8.42
530,5300,242.19,60.55,950.2,0.45,8.33
531,5310,235.84,61.52,958.01,0.44,8.59
532,5320,238.77,53.22,953.12,0.44,8.44
533,5330,244.14,46.39,954.59,0.44,8.1
534,5340,251.95,59.08,960.94,0.44,8.48
535,5350,247.56,61.52,954.59,0.44,8.63
536,5360,246.58,68.36,975.1,0.43,8.4
537,5370,251.46,53.71,956.54,0.43,8.44
538,5380,241.21,65.43,959.96,0.43,8.53
539,5390,235.84,66.89,961.43,0.43,8.34
540,5400,242.68,62.99,965.33,0.43,8.47
541,5410,240.23,59.08,957.03,0.43,8.59
542,5420,247.56,70.8,955.57,0.43,8.46
543,5430,243.65,68.85,943.85,0.43,8.48
544,5440,245.12,71.29,972.17,0.43,8.51
545,5450,231.93,53.22,958.5,0.43,8.42
546,5460,252.93,57.13,965.82,0.43,8.59
547,5470,228.03,65.92,953.12,0.43,8.54
548,5480,232.91,49.32,948.73,0.43,8.43
549,5490,234.86,55.66,969.24,0.43,8.61
550,5500,243.16,68.85,961.91,0.43,8.31
551,5510,241.21,51.76,956.54,0.43,8.68
552,5520,246.09,60.06,968.75,0.43,8.51
553,5530,253.91,55.18,959.47,0.43,8.41
554,5540,250.49,62.99,967.77,0.43,8.59
555,5550,245.12,55.18,952.15,0.43,8.45
556,5560,243.16,60.06,956.54,0.43,8.5
557,5570,242.19,71.78,959.47,0.43,8.36
